Ticket_ID,Event_Time,Alert_Source,Alert_Type,Detection_Tool,Severity,Confidence_Level,Confidence_Band,Affected_Asset,User_Role,Indicators_Present,Short_Description,Category_Label,Risk_Score,MITRE_Tactic,MITRE_Technique,Possible_CVE,Enrichment_Context,Immediate_Containment,Playbook_Steps,Recommended_Action,Expected_Action,Decision_Correct
1001,2026-02-10T02:14:31Z,Email Gateway,Suspicious Email Activity,Proofpoint,HIGH,82,HIGH,User Mailbox,Staff,suspicious link;new sender domain;failed SPF,Email flagged containing a suspicious link from an unrecognised external sender domain.,Phishing,7.5,TA0001 - Initial Access,T1566.001 - Spearphishing Link / Attachment,N/A (social engineering; no CVE applicable),Indicator pattern matches an active credential-harvesting or malware-delivery phishing campaign. Sender domain likely registered within the last 7 days. Similar campaigns observed in threat intelligence feeds within 48 hours. Treat any user who clicked or opened attachment as potentially compromised.,Block sender domain at email gateway. Retract email from all recipient mailboxes via admin console. Reset credentials for any user who interacted with the email.,"1. Pull full recipient list from mail server logs for this sender domain.
2. Retract email from all mailboxes using the admin email console immediately.
3. Identify users who clicked the link or opened the attachment via proxy or email gateway click-tracking logs.
4. Force password reset and MFA re-enrollment for every user who interacted.
5. Block sender domain and IP at email gateway and DNS sinkholes.
6. Extract and submit phishing URL, sender domain, and attachment hash as IOCs to threat intel platform.
7. Notify affected users with security awareness guidance.
8. If credential usage is confirmed post-click, escalate to Tier-2 immediately for account takeover investigation.",Escalate,Escalate,YES
1002,2026-02-10T08:45:12Z,Email Gateway,Suspicious Email Activity,Mimecast,MEDIUM,61,MEDIUM,User Mailbox,Staff,spoofed display name;lookalike domain;urgent subject,Email with spoofed executive display name delivered to finance team member.,Phishing,3.75,TA0001 - Initial Access,T1566.001 - Spearphishing Link,N/A (social engineering; no CVE applicable),"Sender is spoofing an executive or trusted internal identity. Domain fails DMARC, DKIM, or SPF alignment. This pattern is consistent with Business Email Compromise (BEC) or a targeted spearphishing campaign. Finance and admin users are common targets.",Retract all delivered emails from mailboxes. Block the spoofed or lookalike domain at gateway. Alert the impersonated individual and their team directly.,"1. Check DMARC, DKIM, and SPF alignment results for the sender domain.
2. Determine whether this is a targeted spearphish (BEC) or opportunistic bulk campaign.
3. Retract emails from all affected mailboxes.
4. If executive impersonation: notify finance team and the impersonated executive directly via phone.
5. Block the lookalike or spoofed domain at email gateway and DNS.
6. Search mail logs for prior messages from the same domain or IP range.
7. Submit domain to brand protection vendor for takedown request.
8. Document IOCs and close ticket, or escalate if financial transaction was initiated.",Investigate,Investigate,YES
1003,2026-02-10T11:20:05Z,Email Gateway,Suspicious Email Activity,O365 Defender,LOW,28,LOW,User Mailbox,Staff,bulk delivery;newsletter pattern;unsubscribe link present,Mass email flagged by filter; unsubscribe link present and domain reputation neutral.,Phishing,1.0,TA0001 - Initial Access,N/A - Likely false positive,N/A,Alert pattern is consistent with bulk marketing email or an auto-generated internal message. Sender domain has neutral or positive reputation. No malicious indicators confirmed. High probability of false positive.,No immediate containment required. Confirm with requestor if needed.,"1. Verify sender domain reputation via threat intel lookup.
2. Confirm presence of a valid unsubscribe mechanism or known sender relationship.
3. If sender is a known marketing platform or partner, whitelist domain to reduce future noise.
4. Document decision rationale and close ticket as false positive.",Close - False Positive,Close - False Positive,YES
1004,2026-02-10T14:33:47Z,Email Gateway,Suspicious Email Activity,Proofpoint,CRITICAL,91,HIGH,User Mailbox,Admin,credential harvesting url;executive impersonation;macro attachment,Email impersonating CEO delivered to admin user containing macro-enabled attachment.,Phishing,9.5,TA0001 - Initial Access,T1566.001 - Spearphishing Link / Attachment,N/A (social engineering; no CVE applicable),Indicator pattern matches an active credential-harvesting or malware-delivery phishing campaign. Sender domain likely registered within the last 7 days. Similar campaigns observed in threat intelligence feeds within 48 hours. Treat any user who clicked or opened attachment as potentially compromised.,Block sender domain at email gateway. Retract email from all recipient mailboxes via admin console. Reset credentials for any user who interacted with the email.,"1. Pull full recipient list from mail server logs for this sender domain.
2. Retract email from all mailboxes using the admin email console immediately.
3. Identify users who clicked the link or opened the attachment via proxy or email gateway click-tracking logs.
4. Force password reset and MFA re-enrollment for every user who interacted.
5. Block sender domain and IP at email gateway and DNS sinkholes.
6. Extract and submit phishing URL, sender domain, and attachment hash as IOCs to threat intel platform.
7. Notify affected users with security awareness guidance.
8. If credential usage is confirmed post-click, escalate to Tier-2 immediately for account takeover investigation.",Escalate,Escalate,YES
1005,2026-02-11T07:15:22Z,Email Gateway,Suspicious Email Activity,Mimecast,MEDIUM,44,MEDIUM,User Mailbox,Staff,lookalike domain;spoofed sender;no prior contact,Lookalike domain used to impersonate HR team in email to staff member.,Phishing,3.75,TA0001 - Initial Access,T1566.001 - Spearphishing Link,N/A (social engineering; no CVE applicable),"Sender is spoofing an executive or trusted internal identity. Domain fails DMARC, DKIM, or SPF alignment. This pattern is consistent with Business Email Compromise (BEC) or a targeted spearphishing campaign. Finance and admin users are common targets.",Retract all delivered emails from mailboxes. Block the spoofed or lookalike domain at gateway. Alert the impersonated individual and their team directly.,"1. Check DMARC, DKIM, and SPF alignment results for the sender domain.
2. Determine whether this is a targeted spearphish (BEC) or opportunistic bulk campaign.
3. Retract emails from all affected mailboxes.
4. If executive impersonation: notify finance team and the impersonated executive directly via phone.
5. Block the lookalike or spoofed domain at email gateway and DNS.
6. Search mail logs for prior messages from the same domain or IP range.
7. Submit domain to brand protection vendor for takedown request.
8. Document IOCs and close ticket, or escalate if financial transaction was initiated.",Investigate,Investigate,YES
1006,2026-02-11T09:02:58Z,Email Gateway,Suspicious Email Activity,O365 Defender,LOW,33,LOW,User Mailbox,Staff,internal forward rule;auto-reply pattern;low confidence score,Alert triggered on auto-forwarding rule; pattern consistent with legitimate mail flow.,Phishing,1.0,TA0001 - Initial Access,N/A - Likely false positive,N/A,Alert pattern is consistent with bulk marketing email or an auto-generated internal message. Sender domain has neutral or positive reputation. No malicious indicators confirmed. High probability of false positive.,No immediate containment required. Confirm with requestor if needed.,"1. Verify sender domain reputation via threat intel lookup.
2. Confirm presence of a valid unsubscribe mechanism or known sender relationship.
3. If sender is a known marketing platform or partner, whitelist domain to reduce future noise.
4. Document decision rationale and close ticket as false positive.",Close - False Positive,Close - False Positive,YES
1007,2026-02-11T16:48:10Z,Email Gateway,Suspicious Email Activity,Proofpoint,HIGH,77,HIGH,User Mailbox,Admin,credential harvesting url;urgent password reset;external sender,Admin user received urgent password-reset email from external domain with embedded harvesting URL.,Phishing,7.5,TA0001 - Initial Access,T1566.001 - Spearphishing Link / Attachment,N/A (social engineering; no CVE applicable),Indicator pattern matches an active credential-harvesting or malware-delivery phishing campaign. Sender domain likely registered within the last 7 days. Similar campaigns observed in threat intelligence feeds within 48 hours. Treat any user who clicked or opened attachment as potentially compromised.,Block sender domain at email gateway. Retract email from all recipient mailboxes via admin console. Reset credentials for any user who interacted with the email.,"1. Pull full recipient list from mail server logs for this sender domain.
2. Retract email from all mailboxes using the admin email console immediately.
3. Identify users who clicked the link or opened the attachment via proxy or email gateway click-tracking logs.
4. Force password reset and MFA re-enrollment for every user who interacted.
5. Block sender domain and IP at email gateway and DNS sinkholes.
6. Extract and submit phishing URL, sender domain, and attachment hash as IOCs to threat intel platform.
7. Notify affected users with security awareness guidance.
8. If credential usage is confirmed post-click, escalate to Tier-2 immediately for account takeover investigation.",Escalate,Escalate,YES
1008,2026-02-12T03:22:09Z,Email Gateway,Suspicious Email Activity,Mimecast,MEDIUM,55,MEDIUM,User Mailbox,Staff,spoofed display name;failed DMARC;finance keyword,Finance keyword detected in email body; sender failed DMARC alignment check.,Phishing,3.75,TA0001 - Initial Access,T1566.001 - Spearphishing Link,N/A (social engineering; no CVE applicable),"Sender is spoofing an executive or trusted internal identity. Domain fails DMARC, DKIM, or SPF alignment. This pattern is consistent with Business Email Compromise (BEC) or a targeted spearphishing campaign. Finance and admin users are common targets.",Retract all delivered emails from mailboxes. Block the spoofed or lookalike domain at gateway. Alert the impersonated individual and their team directly.,"1. Check DMARC, DKIM, and SPF alignment results for the sender domain.
2. Determine whether this is a targeted spearphish (BEC) or opportunistic bulk campaign.
3. Retract emails from all affected mailboxes.
4. If executive impersonation: notify finance team and the impersonated executive directly via phone.
5. Block the lookalike or spoofed domain at email gateway and DNS.
6. Search mail logs for prior messages from the same domain or IP range.
7. Submit domain to brand protection vendor for takedown request.
8. Document IOCs and close ticket, or escalate if financial transaction was initiated.",Investigate,Investigate,YES
1009,2026-02-12T10:10:44Z,Email Gateway,Suspicious Email Activity,O365 Defender,LOW,19,LOW,User Mailbox,Staff,newsletter;known marketing domain;low volume,Alert raised on promotional email from known marketing platform; low risk.,Phishing,1.0,TA0001 - Initial Access,N/A - Likely false positive,N/A,Alert pattern is consistent with bulk marketing email or an auto-generated internal message. Sender domain has neutral or positive reputation. No malicious indicators confirmed. High probability of false positive.,No immediate containment required. Confirm with requestor if needed.,"1. Verify sender domain reputation via threat intel lookup.
2. Confirm presence of a valid unsubscribe mechanism or known sender relationship.
3. If sender is a known marketing platform or partner, whitelist domain to reduce future noise.
4. Document decision rationale and close ticket as false positive.",Close - False Positive,Close - False Positive,YES
1010,2026-02-12T15:57:31Z,Email Gateway,Suspicious Email Activity,Proofpoint,HIGH,80,HIGH,User Mailbox,Staff,macro attachment;external sender;new domain,Staff member received email with macro-enabled attachment from newly registered domain.,Phishing,7.5,TA0001 - Initial Access,T1566.001 - Spearphishing Link / Attachment,N/A (social engineering; no CVE applicable),Indicator pattern matches an active credential-harvesting or malware-delivery phishing campaign. Sender domain likely registered within the last 7 days. Similar campaigns observed in threat intelligence feeds within 48 hours. Treat any user who clicked or opened attachment as potentially compromised.,Block sender domain at email gateway. Retract email from all recipient mailboxes via admin console. Reset credentials for any user who interacted with the email.,"1. Pull full recipient list from mail server logs for this sender domain.
2. Retract email from all mailboxes using the admin email console immediately.
3. Identify users who clicked the link or opened the attachment via proxy or email gateway click-tracking logs.
4. Force password reset and MFA re-enrollment for every user who interacted.
5. Block sender domain and IP at email gateway and DNS sinkholes.
6. Extract and submit phishing URL, sender domain, and attachment hash as IOCs to threat intel platform.
7. Notify affected users with security awareness guidance.
8. If credential usage is confirmed post-click, escalate to Tier-2 immediately for account takeover investigation.",Escalate,Escalate,YES
