Ticket_ID,Event_Time,Alert_Source,Alert_Type,Detection_Tool,Severity,Confidence_Level,Affected_Asset,User_Role,Indicators_Present,Short_Description,Expected_Action
1001,2026-02-10T02:14:31Z,Email Gateway,Suspicious Email Activity,Proofpoint,HIGH,82,User Mailbox,Staff,suspicious link;new sender domain;failed SPF,Email flagged containing a suspicious link from an unrecognised external sender domain.,Escalate
1002,2026-02-10T08:45:12Z,Email Gateway,Suspicious Email Activity,Mimecast,MEDIUM,61,User Mailbox,Staff,spoofed display name;lookalike domain;urgent subject,Email with spoofed executive display name delivered to finance team member.,Investigate
1003,2026-02-10T11:20:05Z,Email Gateway,Suspicious Email Activity,O365 Defender,LOW,28,User Mailbox,Staff,bulk delivery;newsletter pattern;unsubscribe link present,Mass email flagged by filter; unsubscribe link present and domain reputation neutral.,Close - False Positive
1004,2026-02-10T14:33:47Z,Email Gateway,Suspicious Email Activity,Proofpoint,CRITICAL,91,User Mailbox,Admin,credential harvesting url;executive impersonation;macro attachment,Email impersonating CEO delivered to admin user containing macro-enabled attachment.,Escalate
1005,2026-02-11T07:15:22Z,Email Gateway,Suspicious Email Activity,Mimecast,MEDIUM,44,User Mailbox,Staff,lookalike domain;spoofed sender;no prior contact,Lookalike domain used to impersonate HR team in email to staff member.,Investigate
1006,2026-02-11T09:02:58Z,Email Gateway,Suspicious Email Activity,O365 Defender,LOW,33,User Mailbox,Staff,internal forward rule;auto-reply pattern;low confidence score,Alert triggered on auto-forwarding rule; pattern consistent with legitimate mail flow.,Close - False Positive
1007,2026-02-11T16:48:10Z,Email Gateway,Suspicious Email Activity,Proofpoint,HIGH,77,User Mailbox,Admin,credential harvesting url;urgent password reset;external sender,Admin user received urgent password-reset email from external domain with embedded harvesting URL.,Escalate
1008,2026-02-12T03:22:09Z,Email Gateway,Suspicious Email Activity,Mimecast,MEDIUM,55,User Mailbox,Staff,spoofed display name;failed DMARC;finance keyword,Finance keyword detected in email body; sender failed DMARC alignment check.,Investigate
1009,2026-02-12T10:10:44Z,Email Gateway,Suspicious Email Activity,O365 Defender,LOW,19,User Mailbox,Staff,newsletter;known marketing domain;low volume,Alert raised on promotional email from known marketing platform; low risk.,Close - False Positive
1010,2026-02-12T15:57:31Z,Email Gateway,Suspicious Email Activity,Proofpoint,HIGH,80,User Mailbox,Staff,macro attachment;external sender;new domain,Staff member received email with macro-enabled attachment from newly registered domain.,Escalate
1011,2026-02-13T06:30:00Z,Email Gateway,Suspicious Email Activity,Mimecast,MEDIUM,48,User Mailbox,Staff,lookalike domain;missing DKIM;IT impersonation,Email impersonating IT helpdesk sent from domain missing DKIM signature.,Investigate
1012,2026-02-13T13:45:19Z,Email Gateway,Suspicious Email Activity,O365 Defender,LOW,22,User Mailbox,Staff,known sender;low confidence;no malicious indicators,Alert triggered on email from known partner; no malicious indicators found on review.,Close - False Positive
1013,2026-02-10T01:05:44Z,Endpoint Protection,Endpoint Malware Detection,CrowdStrike,CRITICAL,95,Workstation,Staff,ransomware dropper;vssadmin shadow copy deletion;temp directory execution,Ransomware dropper detected executing from user temp directory; shadow copy deletion observed.,Escalate
1014,2026-02-10T07:22:17Z,Endpoint Protection,Endpoint Malware Detection,SentinelOne,HIGH,83,Workstation,Staff,C2 beacon;registry persistence;encoded PowerShell,Malware beacon to external C2 detected; persistence written to registry run key.,Escalate
1015,2026-02-10T09:40:55Z,Endpoint Protection,Endpoint Malware Detection,Windows Defender,MEDIUM,60,Workstation,Staff,trojan signature;quarantine successful;no lateral movement,Known trojan signature matched and quarantined by AV; no further activity observed.,Investigate
1016,2026-02-10T14:15:02Z,Endpoint Protection,Endpoint Malware Detection,Carbon Black,CRITICAL,88,Server,Admin,LSASS dump attempt;lateral movement detected;worm propagation,Credential dump via LSASS attempted; lateral movement to two adjacent hosts detected.,Escalate
1017,2026-02-11T02:55:30Z,Endpoint Protection,Endpoint Malware Detection,CrowdStrike,HIGH,74,Workstation,Staff,encoded PowerShell;downloader activity;new scheduled task,Encoded PowerShell command executed a downloader; new scheduled task created for persistence.,Investigate
1018,2026-02-11T10:05:11Z,Endpoint Protection,Endpoint Malware Detection,SentinelOne,LOW,35,Workstation,Staff,PUP detected;adware;quarantine successful,Potentially unwanted program flagged and quarantined; no malicious behaviour observed.,Close - Resolved
1019,2026-02-11T14:30:22Z,Endpoint Protection,Endpoint Malware Detection,Windows Defender,MEDIUM,58,Workstation,Staff,trojan signature;no network activity;isolated file,Trojan signature matched on dropped file; no network connections or process injection seen.,Investigate
1020,2026-02-12T04:10:47Z,Endpoint Protection,Endpoint Malware Detection,Carbon Black,CRITICAL,92,Workstation,Admin,ransomware dropper;SMB scanning;credential dump,Ransomware dropper executed on admin workstation; internal SMB scanning and credential dump observed.,Escalate
1021,2026-02-12T08:50:33Z,Endpoint Protection,Endpoint Malware Detection,CrowdStrike,HIGH,78,Workstation,Staff,C2 beacon;DNS tunnelling;exfiltration pattern,Malware using DNS tunnelling to beacon to C2; large outbound data transfer observed.,Escalate
1022,2026-02-12T12:20:05Z,Endpoint Protection,Endpoint Malware Detection,SentinelOne,LOW,25,Workstation,Staff,low confidence signature;sandbox clean;no process injection,Low-confidence signature triggered; sandbox analysis clean; no malicious behaviour confirmed.,Close - False Positive
1023,2026-02-12T17:40:58Z,Endpoint Protection,Endpoint Malware Detection,Windows Defender,MEDIUM,65,Workstation,Staff,encoded PowerShell;no network activity;script blocked,Encoded PowerShell script blocked before execution; no follow-on activity observed.,Investigate
1024,2026-02-13T05:15:21Z,Endpoint Protection,Endpoint Malware Detection,Carbon Black,HIGH,71,Workstation,Staff,trojan signature;LSASS access;no confirmed dump,Trojan attempted LSASS memory access; access blocked before dump completed.,Investigate
1025,2026-02-10T00:42:19Z,Identity Provider,Authentication Failure Anomaly,Okta,CRITICAL,90,User Account,Admin,impossible travel;admin account;foreign IP;no VPN,Admin account logged in from two continents within 25 minutes with no VPN or travel notice.,Escalate
1026,2026-02-10T06:18:44Z,Identity Provider,Authentication Failure Anomaly,Azure AD,HIGH,81,User Account,Staff,brute force;50 failed logins;5 minute window,Over 50 failed login attempts against a single account within 5 minutes from one external IP.,Escalate
1027,2026-02-10T10:55:02Z,Identity Provider,Authentication Failure Anomaly,Duo Security,MEDIUM,62,User Account,Staff,MFA push anomaly;new device;off-hours login,MFA push accepted from unregistered device during off-hours; potential account takeover.,Investigate
1028,2026-02-10T13:30:17Z,Identity Provider,Authentication Failure Anomaly,Splunk SIEM,LOW,30,User Account,Staff,failed login;single attempt;known user,Single failed login attempt from known user on known device; likely mistyped password.,Close - False Positive
1029,2026-02-11T01:05:50Z,Identity Provider,Authentication Failure Anomaly,Okta,HIGH,76,User Account,Admin,password spray;30 accounts targeted;rotating IPs,Password spray detected across 30+ accounts using rotating source IPs to evade lockout policy.,Escalate
1030,2026-02-11T07:40:33Z,Identity Provider,Authentication Failure Anomaly,Azure AD,MEDIUM,55,User Account,Staff,impossible travel;low confidence;VPN flagged,Impossible travel alert triggered but VPN usage partially explains geolocation discrepancy.,Investigate
1031,2026-02-11T11:10:08Z,Identity Provider,Authentication Failure Anomaly,Duo Security,LOW,21,User Account,Staff,MFA push;user confirmed;known device,MFA push accepted from known device; user confirmed action via callback.,Close - Resolved
1032,2026-02-11T15:25:44Z,Identity Provider,Authentication Failure Anomaly,Splunk SIEM,MEDIUM,50,User Account,Admin,brute force;account locked;10 attempts,Account locked after 10 failed attempts from external IP; standard lockout policy triggered.,Investigate
1033,2026-02-12T02:00:11Z,Identity Provider,Authentication Failure Anomaly,Okta,CRITICAL,88,User Account,Admin,impossible travel;TOR exit node;admin privileges,Admin account authenticated from a known TOR exit node; high-risk geolocation.,Escalate
1034,2026-02-12T09:30:59Z,Identity Provider,Authentication Failure Anomaly,Azure AD,HIGH,73,User Account,Service,service account anomaly;off-hours;new geolocation,Service account authenticated from new geolocation during off-hours; no change request on file.,Investigate
1035,2026-02-12T14:05:27Z,Identity Provider,Authentication Failure Anomaly,Duo Security,LOW,29,User Account,Staff,single failed attempt;vacation mode active;self-reported,User on approved leave; single failed attempt; user confirmed accidental login attempt.,Close - False Positive
1036,2026-02-12T18:50:03Z,Identity Provider,Authentication Failure Anomaly,Splunk SIEM,MEDIUM,57,User Account,Staff,password spray;low volume;5 accounts,Low-volume password spray targeting 5 accounts; below lockout threshold but pattern detected.,Investigate
1037,2026-02-10T03:20:14Z,Network Monitoring,Unusual Network Traffic,Darktrace,CRITICAL,93,Network Segment,Service,large outbound transfer;after hours;unknown external destination,2 GB outbound data transfer to uncategorised external IP detected between 2-3 AM.,Escalate
1038,2026-02-10T08:05:37Z,Network Monitoring,Unusual Network Traffic,Palo Alto NGFW,HIGH,80,Network Segment,Staff,DNS tunnelling;high query frequency;single domain,DNS tunnelling pattern detected; high-frequency queries to a single low-TTL external domain.,Escalate
1039,2026-02-10T12:45:22Z,Network Monitoring,Unusual Network Traffic,Zeek IDS,MEDIUM,60,Network Segment,Staff,internal port scan;DMZ target;single host,Internal workstation performing port scan of DMZ hosts; potential reconnaissance activity.,Investigate
1040,2026-02-10T16:30:09Z,Network Monitoring,Unusual Network Traffic,Cisco Stealthwatch,LOW,27,Network Segment,Staff,minor traffic spike;business hours;known CDN,Traffic spike detected during business hours to known CDN; consistent with software update activity.,Close - False Positive
1041,2026-02-11T01:55:41Z,Network Monitoring,Unusual Network Traffic,Darktrace,HIGH,77,Network Segment,Service,blacklisted IP;C2 pattern;non-standard port,Internal host communicating with threat-intel blacklisted IP on non-standard port 4444.,Escalate
1042,2026-02-11T09:20:18Z,Network Monitoring,Unusual Network Traffic,Palo Alto NGFW,MEDIUM,53,Network Segment,Staff,lateral movement pattern;SMB traffic;internal host,Unusual SMB traffic between internal hosts; may indicate lateral movement or misconfigured service.,Investigate
1043,2026-02-11T13:55:05Z,Network Monitoring,Unusual Network Traffic,Zeek IDS,LOW,31,Network Segment,Staff,low volume;known peer;normal protocol,Low-volume traffic to known internal peer over standard protocol; no anomalous behaviour.,Close - False Positive
1044,2026-02-11T17:40:52Z,Network Monitoring,Unusual Network Traffic,Cisco Stealthwatch,MEDIUM,66,Network Segment,Staff,egress spike;10x baseline;off hours,Egress traffic spike to 10x baseline overnight; destination IPs partially overlap with known CDN.,Investigate
1045,2026-02-12T00:15:29Z,Network Monitoring,Unusual Network Traffic,Darktrace,CRITICAL,91,Network Segment,Service,data exfiltration pattern;DNS tunnelling;blacklisted destination,Large-volume DNS tunnelling to known malicious domain; data exfiltration pattern confirmed by Darktrace.,Escalate
1046,2026-02-12T07:50:06Z,Network Monitoring,Unusual Network Traffic,Palo Alto NGFW,HIGH,75,Network Segment,Staff,non-standard port;encoded payload;no business justification,Traffic on port 8443 with encoded payload pattern; no approved application uses this port.,Escalate
1047,2026-02-12T11:25:43Z,Network Monitoring,Unusual Network Traffic,Zeek IDS,LOW,24,Network Segment,Staff,routine backup;scheduled task;known destination,Network activity matches scheduled backup window to approved cloud backup destination.,Close - Resolved
1048,2026-02-12T15:00:20Z,Network Monitoring,Unusual Network Traffic,Cisco Stealthwatch,LOW,49,Network Segment,Staff,internal scan;low intensity;asset discovery tool,Low-intensity internal scan attributed to approved asset discovery tool running on schedule.,Close - False Positive
1049,2026-02-10T04:45:33Z,DLP Solution,Data Policy Violation,Microsoft Purview,CRITICAL,89,File Share,Admin,bulk PII download;after hours;admin account;no justification,Admin account downloaded 2000 customer PII records at 11 PM with no approved business justification.,Escalate
1050,2026-02-10T09:30:07Z,DLP Solution,Data Policy Violation,Symantec DLP,HIGH,78,Email System,Staff,SSN pattern;external email;personal domain,Email containing Social Security Number pattern sent by staff member to personal email domain.,Escalate
1051,2026-02-10T13:05:44Z,DLP Solution,Data Policy Violation,Forcepoint,MEDIUM,57,Endpoint,Staff,USB write attempt;unapproved device;blocked by DLP,USB write attempt blocked; device not on approved hardware list; user claims personal device.,Investigate
1052,2026-02-10T17:40:21Z,DLP Solution,Data Policy Violation,Microsoft Purview,LOW,26,Cloud Storage,Staff,personal cloud upload;non-sensitive file;small volume,Small non-sensitive file uploaded to personal cloud storage; file classification: public.,Close - False Positive
1053,2026-02-11T05:10:58Z,DLP Solution,Data Policy Violation,Symantec DLP,HIGH,80,File Share,Admin,terminated employee access;active session;after hours,Active session detected accessing terminated employee file share after hours using a live admin credential.,Escalate
1054,2026-02-11T10:55:35Z,DLP Solution,Data Policy Violation,Forcepoint,MEDIUM,63,Endpoint,Staff,bulk file access;sensitive classification;business hours,Large number of sensitive-classified files accessed by single user during business hours; pattern is unusual.,Investigate
1055,2026-02-11T15:30:12Z,DLP Solution,Data Policy Violation,Microsoft Purview,LOW,32,Email System,Staff,attachment sent;internal recipient;approved classification,File attachment sent to internal recipient; file classification approved for internal sharing.,Close - Resolved
1056,2026-02-11T19:05:49Z,DLP Solution,Data Policy Violation,Symantec DLP,MEDIUM,52,Cloud Storage,Staff,personal cloud upload;moderately sensitive;unusual volume,Moderately sensitive files uploaded to personal cloud storage; volume higher than previous baseline.,Investigate
1057,2026-02-12T01:40:26Z,DLP Solution,Data Policy Violation,Forcepoint,CRITICAL,94,File Share,Staff,mass data download;departure indicator;confidential files,Staff member with upcoming resignation downloaded large volume of confidential project files.,Escalate
1058,2026-02-12T08:15:03Z,DLP Solution,Data Policy Violation,Microsoft Purview,HIGH,72,Endpoint,Admin,print job;confidential classification;unmanaged printer,Confidential HR documents sent to an unmanaged local printer with no DRM protection applied.,Investigate
1059,2026-02-12T12:50:40Z,DLP Solution,Data Policy Violation,Symantec DLP,LOW,23,Email System,Staff,outbound email;public content;external domain,Outbound email to external domain; content classified as public; no policy violation confirmed.,Close - False Positive
1060,2026-02-12T17:25:17Z,DLP Solution,Data Policy Violation,Forcepoint,MEDIUM,59,Cloud Storage,Staff,personal cloud upload;financial report draft;unclassified,Draft financial report uploaded to personal cloud storage; document not yet classified.,Investigate
